"sgID","gene_TSS","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"AATF_-_35306340.23-P1P2","AATF__P1P2",761.032099764327,-0.355675359572559,0.594344722847874,-0.598432771251502,0.549551204661903,0.765538927943655
"AATF_-_35306346.23-P1P2","AATF__P1P2",367.084105977314,-1.38993455641081,0.628876195971847,-2.21018789598617,0.0270921246657504,0.1119940209619
"AATF_-_35306333.23-P1P2","AATF__P1P2",465.92248200506,0.475259434231737,0.730948262416444,0.650195723375243,0.515565803173508,0.740686004766925
"AATF_-_35306312.23-P1P2","AATF__P1P2",1026.76641935591,-3.26730221180301,0.673767536156979,-4.84930192754459,1.23896715547808e-06,3.46731762037405e-05
"AATF__P1P2__secondary__FWD__35","AATF__P1P2",538.389837158762,-0.259430072892936,0.48696588686639,-0.532747939619262,0.594208075985533,0.793084568637271
"AATF__P1P2__secondary__FWD__50","AATF__P1P2",568.290460104331,-0.942381351285534,0.538641936180916,-1.7495506531987,0.080195881093323,0.245428797922455
"AATF__P1P2__secondary__FWD__53","AATF__P1P2",596.193526431055,-0.468936158221854,0.498062052801464,-0.941521554561756,0.3464376487142,0.600271481002128
"AATF__P1P2__secondary__FWD__55","AATF__P1P2",769.940215715942,-0.0250113299886286,0.51051451000433,-0.0489923978623378,0.960925354293133,0.984015616271141
"ABCB10__P1P2__primary__RVS__7","ABCB10__P1P2",2204.27206094187,0.0201182676197938,0.121677600194843,0.165340765987974,0.86867577373281,0.942980663346951
"ABCB10_+_229694285.23-P1P2","ABCB10__P1P2",548.097253279817,-0.63794277685832,0.628377638354738,-1.01522195877089,0.310000035479205,0.56485841542307
"ABCB10__P1P2__primary__FWD__3","ABCB10__P1P2",3217.38057478175,0.172599545319593,0.150037675271958,1.15037469760005,0.249989576871897,0.504301890177204
"ABCB10__P1P2__primary__RVS__1","ABCB10__P1P2",2288.7663273083,-0.149385182812751,0.138661634546443,-1.07733608724132,0.28133014585018,0.537271841604046
"ABCB10__P1P2__primary__FWD__50","ABCB10__P1P2",2376.50552476266,-0.0296676939075318,0.179225535691213,-0.165532739478855,0.868524682887504,0.942980663346951
"ABCB10__P1P2__primary__FWD__49","ABCB10__P1P2",2143.03756441589,-0.0615538101641354,0.13322211032587,-0.462038996481671,0.644053355578954,0.826994913416127
"ABCB10__P1P2__primary__FWD__86","ABCB10__P1P2",2462.53799160403,-0.054137971451988,0.139550768451543,-0.387944631568164,0.698057008393047,0.856104354828613
"ABCB10__P1P2__primary__RVS__41","ABCB10__P1P2",2079.78198764682,-0.0709700817847228,0.14573167842401,-0.486991452731599,0.626264388088752,0.81539842273274
"ABHD16A_-_31670764.23-P1P2","ABHD16A__P1P2",2341.48359978226,-0.726687229562104,0.219018323661943,-3.31792891759939,0.000906875600311872,0.00785539910214042
"ABHD16A_-_31670679.23-P1P2","ABHD16A__P1P2",1717.10682793193,0.193652358658668,0.279202559372622,0.693590915118441,0.487938792701798,0.719901162537179
"ABHD16A_+_31671120.23-P1P2","ABHD16A__P1P2",2218.8952975704,-0.698078881047483,0.251147055512114,-2.77956227527346,0.00544322154493657,0.0323751315845337
"ABHD16A_-_31670671.23-P1P2","ABHD16A__P1P2",2311.94635912899,-0.0246238445149529,0.171933903132172,-0.143216922703277,0.886118865208588,0.949469967598986
"ABHD16A__31670342__RVS__98","ABHD16A__P1P2",2676.21664273243,0.390264590680752,0.22171998139921,1.76016878685406,0.0783791925547733,0.241394949589017
"ABHD16A__31670342__RVS__92","ABHD16A__P1P2",849.452150551438,0.824453272005042,0.620796455330312,1.3280573123865,0.184159174124348,0.42097895515735
"ABHD16A__31670342__FWD__80","ABHD16A__P1P2",1485.34466028431,-0.842577906059073,0.35737599573649,-2.35767907221263,0.0183895834534159,0.0832085684950588
"ABHD16A__31670342__FWD__26","ABHD16A__P1P2",2263.18872763637,0.0731362986342425,0.125061862649044,0.584800970376413,0.558681551808859,0.769518273992202
"ACAD11_-_132378623.23-P1P2","ACAD11__P1P2",1821.94991183643,0.740032307048681,0.197361842939373,3.74962199393329,0.000177101326030738,0.00213876636663187
"ACAD11_-_132378633.23-P1P2","ACAD11__P1P2",2845.450179194,0.941463456528308,0.171839391497879,5.4787406328771,4.28363734464769e-08,1.98964676347652e-06
"ACAD11_-_132379444.23-P1P2","ACAD11__P1P2",1808.90339600831,1.74841035731719,0.256868785647373,6.80662834493792,9.99125980768761e-12,1.42272601055646e-09
"ACAD11_+_132378312.23-P1P2","ACAD11__P1P2",2069.34414032287,0.638538879365476,0.149104658928707,4.28248777706394,1.84815287334853e-05,0.00033575355108131
"ACAD11_+_132379379.23-P1P2","ACAD11__P1P2",2076.67112068154,1.22333973649752,0.233785177517541,5.23275149215023,1.67005199891952e-07,6.41710853394352e-06
"ACAD11__P1P2__primary__FWD__56","ACAD11__P1P2",2607.16655046053,-0.204027209310974,0.209065738321209,-0.975899786111802,0.329114128135523,0.583906106893801
"ACAD11__P1P2__primary__FWD__65","ACAD11__P1P2",2474.95676644645,-0.0752890506036752,0.126785223498343,-0.593831430242807,0.552624864934299,0.767178002460045
"ACAD11__P1P2__primary__FWD__66","ACAD11__P1P2",2359.65534243621,0.0573355812286958,0.108699756541892,0.527467430036048,0.597869028408069,0.795980448518539
"ACADS__P1P2__primary__RVS__-24","ACADS__P1P2",2290.80472270296,-0.128998802695619,0.141538468912028,-0.911404536782126,0.36208226408407,0.613588127953456
"ACADS_+_121164090.23-P1P2","ACADS__P1P2",1474.91939900579,2.40928156966886,0.415358849397969,5.8004820967723,6.61245339890257e-09,4.13086362977894e-07
"ACADS__P1P2__primary__RVS__0","ACADS__P1P2",2629.81796276239,-0.265316464083256,0.130051835910632,-2.04008241964054,0.0413421174115659,0.153908390194615
"ACADS__P1P2__primary__RVS__86","ACADS__P1P2",2647.48371283452,-0.0489139847044301,0.110957739108124,-0.440834367188801,0.659332911377152,0.836081794246328
"ACADS__P1P2__primary__FWD__90","ACADS__P1P2",3008.24451360709,-0.163891456971633,0.115319480038201,-1.42119490061299,0.155260106757689,0.377924488118326
"ACADS__P1P2__primary__RVS__225","ACADS__P1P2",2459.4385552581,-0.0223734714550478,0.129266164559326,-0.173080647447999,0.862588036468168,0.939810824385403
"ACADS__P1P2__primary__RVS__240","ACADS__P1P2",2224.1605746712,0.000750062290431012,0.112640643658017,0.00665889563547097,0.99468700924428,0.998088529586773
"ACADS__P1P2__primary__FWD__232","ACADS__P1P2",2335.28951825734,-0.0492093089385834,0.115476763298069,-0.426140355281385,0.670005575875995,0.841282587758044
"ACAT2_+_160183436.23-P1P2","ACAT2__P1P2",1628.62710748817,0.93205005676393,0.28835525050292,3.23229785182806,0.00122798985499155,0.0100089442473764
"ACAT2_+_160183505.23-P1P2","ACAT2__P1P2",1834.32746598131,1.37444512844176,0.272456516942178,5.04464031129583,4.54375301372122e-07,1.51714346316767e-05
"ACAT2_-_160183095.23-P1P2","ACAT2__P1P2",1415.36711115594,1.89166642348067,0.420578787498702,4.49776945416324,6.86701018467502e-06,0.000145181789559407
"ACAT2_-_160183174.23-P1P2","ACAT2__P1P2",1521.95704832517,1.20899129765964,0.347415195317901,3.47996090543292,0.000501486954753163,0.00498040839269218
"ACAT2__P1P2__secondary__FWD__36","ACAT2__P1P2",1973.51095933994,0.709558438737591,0.155039511154572,4.57662974717568,4.72526686676862e-06,0.000105183354186024
"ACAT2__P1P2__secondary__FWD__41","ACAT2__P1P2",1993.18685566289,0.751992811582649,0.178072063067032,4.22296905326231,2.41104935934172e-05,0.000418390518754586
"ACAT2__P1P2__secondary__FWD__62","ACAT2__P1P2",1579.77037588282,1.5913891879178,0.381492417993658,4.17148313533259,3.02623457899272e-05,0.000503488478150971
"ACAT2__P1P2__primary__FWD__72","ACAT2__P1P2",1221.92061101967,1.11283767857631,0.291115235850437,3.82267068683428,0.000132014035689863,0.00167315694710071
"ACLY_-_40074817.23-P1P2","ACLY__P1P2",1974.00109325883,0.439194304867991,0.381981177542657,1.14977996479668,0.250234509198134,0.50469084619153
"ACLY_-_40075227.23-P1P2","ACLY__P1P2",921.349464023264,-0.161681209778674,0.496406983464971,-0.325702931594804,0.744649125989856,0.883307299639811
"ACLY_+_40075121.23-P1P2","ACLY__P1P2",1394.44905985009,-0.324265891726016,0.356510060953273,-0.909556074964506,0.363056672517198,0.614555759613524
"ACLY_-_40075090.23-P1P2","ACLY__P1P2",1629.96031149465,-0.194508050923661,0.345034153597904,-0.563735644414892,0.572934055378652,0.778846056188613
"ACLY_+_40074807.23-P1P2","ACLY__P1P2",3335.80913008767,-0.753814845395453,0.4342146326437,-1.73604201407465,0.0825564060264652,0.250593629954314
"ACLY__P1P2__primary__FWD__16","ACLY__P1P2",1437.83665501839,0.180813872777233,0.419568130615019,0.430952352153604,0.666503016262993,0.839291564732632
"ACLY__P1P2__primary__FWD__51","ACLY__P1P2",2067.68825231971,-0.135970383609415,0.108162679418512,-1.25709148793649,0.208720509075969,0.453046556687426
"ACLY__P1P2__primary__FWD__95","ACLY__P1P2",1941.87814729882,0.133407528750893,0.22826293476864,0.584446742902481,0.558919786290474,0.769736920871947
"ACTA2_+_90750678.23-P2","ACTA2__P2",1194.28693721667,0.279663923147545,0.44491955991544,0.628571877578718,0.529629376253243,0.751304021426919
"ACTA2_-_90751066.23-P2","ACTA2__P2",2438.40184449655,-0.0932459769781137,0.112807836882416,-0.826591303894142,0.408468747938849,0.65766592721847
"ACTA2__P2__primarysecondary__FWD__36","ACTA2__P2",2200.45446641383,-0.151183970184289,0.100233798904353,-1.50831328191556,0.131474365472398,0.340574178937728
"ACTA2__P2__primarysecondary__RVS__39","ACTA2__P2",2539.72278175547,-0.213403698207326,0.114907275765493,-1.85718177361413,0.0632852971849934,0.20797619227111
"ACTA2__P2__primarysecondary__RVS__44","ACTA2__P2",2530.29065238249,0.0881252116078585,0.131292533148675,0.671212669101798,0.502085058981243,0.7304221193082
"ACTA2__P2__primarysecondary__RVS__49","ACTA2__P2",2805.26858657913,-0.0522812310673916,0.111317463416845,-0.469658842940184,0.638598776985811,0.823595092908046
"ACTA2__P2__primarysecondary__RVS__59","ACTA2__P2",2825.43963108479,-0.100314956862045,0.100055095670032,-1.00259718098586,0.316055256508369,0.570018796288115
"ACTA2__P2__primarysecondary__FWD__69","ACTA2__P2",3121.85711408236,-0.0728295975147409,0.110969095083228,-0.656305230389755,0.511627752893983,0.738182781352576
"ACTR5_+_37377152.23-P1P2","ACTR5__P1P2",2100.31792544704,1.08484388181622,0.404020546035227,2.6851205773125,0.0072503644137786,0.0407143797478021
"ACTR5_+_37377138.23-P1P2","ACTR5__P1P2",1576.01351021931,0.526220979856203,0.352393422774527,1.49327696218921,0.13536470344211,0.347127818545718
"ACTR5_+_37377158.23-P1P2","ACTR5__P1P2",1337.38537650013,0.660319514050105,0.329067089551379,2.00664100123268,0.0447879022664199,0.163160744035269
"ACTR5_-_37377127.23-P1P2","ACTR5__P1P2",1575.10298173358,0.41204137427715,0.256947411298305,1.60360196740331,0.1088018168099,0.302477172601282
"ACTR5__P1P2__primarysecondary__FWD__7","ACTR5__P1P2",2474.61579101737,0.0931056884011942,0.130656897075523,0.712596812607425,0.476095284680806,0.71159242174131
"ACTR5__P1P2__primarysecondary__FWD__35","ACTR5__P1P2",2372.15035644782,0.0521846033816554,0.182370310120815,0.286146376277392,0.774766012705763,0.900175102115419
"ACTR5__P1P2__primarysecondary__RVS__71","ACTR5__P1P2",2152.34145207636,0.70283145086539,0.21443040460182,3.27766695292345,0.00104668812346038,0.00879781345439835
"ACTR5__P1P2__primarysecondary__RVS__76","ACTR5__P1P2",1563.46714347647,0.539841639312297,0.295489284049114,1.82694151176923,0.0677085638649799,0.219106112816894
"ACTR8_-_53916193.23-P1P2","ACTR8__P1P2",1580.19042518645,1.61737900645381,0.55631600100386,2.90730269044084,0.00364560248221419,0.0237074337375957
"ACTR8_-_53915974.23-P1P2","ACTR8__P1P2",762.038235742359,-0.0566438373839173,0.512599283901504,-0.110503153560397,0.912010349008444,0.960517316668345
"ACTR8__P1P2__primary__RVS__3","ACTR8__P1P2",1163.81897453171,0.404563780782853,0.45341992663304,0.892249671925586,0.372259123443857,0.624499985462704
"ACTR8_+_53916142.23-P1P2","ACTR8__P1P2",1398.0926570201,3.62839966762826,0.52319362965702,6.93509909516073,4.05936508447726e-12,6.04720494046051e-10
"ACTR8__P1P2__primary__RVS__20","ACTR8__P1P2",1734.37442573179,1.42808826608951,0.358655495927938,3.98178274779999,6.84002877547743e-05,0.000996267935460901
"ACTR8__P1P2__primary__FWD__54","ACTR8__P1P2",1021.66808280089,0.697300672949041,0.435550118885392,1.60096540607885,0.1093845814578,0.303634563519214
"ACTR8__P1P2__primary__RVS__16","ACTR8__P1P2",1409.5847491661,0.602952176392492,0.385664834146704,1.56340978748177,0.117956239505614,0.318153277752886
"ACTR8__P1P2__primary__FWD__16","ACTR8__P1P2",1576.62719474303,1.83482263537661,0.548120061696939,3.34748308554175,0.000815489641279405,0.0072179032874849
"ADAM18_+_39442506.23-P1P2","ADAM18__P1P2",2829.69968974736,-0.059707683418827,0.119413116313403,-0.500009423270746,0.617068442253816,0.808535010330677
"ADAM18_-_39442133.23-P1P2","ADAM18__P1P2",1584.22283227082,3.12765970302362,0.410551754470492,7.61818618229391,2.57265051265487e-14,6.07584754000906e-12
"ADAM18__P1P2__primary__RVS__-19","ADAM18__P1P2",2730.06641371694,-0.122077548082198,0.125063526707025,-0.976124304955657,0.329002868277185,0.583895669634894
"ADAM18__P1P2__primary__RVS__-11","ADAM18__P1P2",2899.72446075873,-0.0324914333599362,0.118031790200012,-0.275276968220829,0.783103457869532,0.904886987810174
"ADAM18__P1P2__primary__FWD__17","ADAM18__P1P2",3259.26578939551,-0.036556488735863,0.144794269228751,-0.25247193090294,0.800676307402512,0.914155015278685
"ADAM18__P1P2__primary__FWD__79","ADAM18__P1P2",2393.79762615116,-0.168131350391467,0.10839990678098,-1.55102855144676,0.120894841868,0.322752896004367
"ADAM18__P1P2__primary__FWD__111","ADAM18__P1P2",3179.36951505378,0.113838664863737,0.119974999891326,0.948853219144428,0.342695270137665,0.59617648234693
"ADAM18__P1P2__primary__FWD__112","ADAM18__P1P2",3419.13758745354,-0.0418125672801191,0.100815542310747,-0.4147432659861,0.678329855759251,0.846131799854074
"ADAMTS16__P2__primarysecondary__RVS__69","ADAMTS16__P2",2240.0242949161,0.0269525132868799,0.128627063247509,0.209539987980732,0.834026722272913,0.928263679751593
"ADAMTS16_+_5140497.23-P2","ADAMTS16__P2",1797.55670824965,-0.398131686019348,0.267024743097348,-1.49099173882251,0.135963663854406,0.347554423733425
"ADAMTS16__P2__primarysecondary__FWD__42","ADAMTS16__P2",2465.63811486352,-0.204076266217011,0.109320000181212,-1.86677886826498,0.0619324746600552,0.205303715211679
