sgrna	Gene	control_count	treatment_count	control_mean	treat_mean	LFC	control_var	adj_var	score	p.low	p.high	p.twosided	FDR	high_in_treatment
TP53_+_7590780.23-P1P2	TP53__P1P2	18089	4.495e+05/4.7487e+05	18089	4.6218e+05	4.6752	3.2179e+08	3.423e+06	240.03	1	0	0	0	True
TP53__P1P2__primarysecondary__FWD__34	TP53__P1P2	18111	4.4163e+05/4.6111e+05	18111	4.5137e+05	4.6393	1.8986e+08	3.4289e+06	233.98	1	0	0	0	True
TP53_+_7590763.23-P1P2	TP53__P1P2	13822	3.6808e+05/3.7278e+05	13822	3.7043e+05	4.744	1.102e+07	2.3325e+06	233.5	1	0	0	0	True
TP53__P1P2__primarysecondary__RVS__44	TP53__P1P2	12272	3.2358e+05/3.3649e+05	12272	3.3004e+05	4.7491	8.3292e+07	1.9685e+06	226.48	1	0	0	0	True
TP53_+_7590774.23-P1P2	TP53__P1P2	11014	2.7653e+05/3.0134e+05	11014	2.8894e+05	4.7133	3.0762e+08	1.6872e+06	213.96	1	0	0	0	True
TP53__P1P2__primarysecondary__FWD__60	TP53__P1P2	13757	3.1201e+05/3.165e+05	13757	3.1425e+05	4.5136	1.0123e+07	2.3168e+06	197.42	1	0	0	0	True
TP53_-_7590396.23-P1P2	TP53__P1P2	10291	2.2937e+05/2.4264e+05	10291	2.36e+05	4.5192	8.7989e+07	1.5317e+06	182.38	1	0	0	0	True
PMAIP1__57567020__RVS__36	PMAIP1__57567020	9696.3	1.6167e+05/1.6628e+05	9696.3	1.6397e+05	4.0797	1.0624e+07	1.4071e+06	130.06	1	0	0	0	True
PMAIP1__57567020__FWD__2	PMAIP1__57567020	8480.7	1.4119e+05/1.5042e+05	8480.7	1.4581e+05	4.1036	4.2592e+07	1.1625e+06	127.37	1	0	0	0	True
KLF5_+_73633558.23-P1P2	KLF5__P1P2	7116.7	1.1532e+05/1.1217e+05	7116.7	1.1374e+05	3.9983	4.9667e+06	9.0548e+05	112.06	1	0	0	0	True
CCDC6__P1P2__secondary__FWD__47	CCDC6__P1P2	6136.8	95745/99535	6136.8	97640	3.9917	7.1848e+06	7.3318e+05	106.86	1	0	0	0	True
TP53__P1P2__primarysecondary__FWD__51	TP53__P1P2	5985.3	83377/1.0212e+05	5985.3	92747	3.9536	1.7563e+08	7.0752e+05	103.15	1	0	0	0	True
CCDC6__P1P2__secondary__FWD__71	CCDC6__P1P2	6497	80951/80509	6497	80730	3.635	97682	7.9525e+05	83.242	1	0	0	0	True
USP28__P1P2__primary__RVS__65	USP28__P1P2	7984.5	87118/95328	7984.5	91223	3.514	3.3699e+07	1.0668e+06	80.59	1	0	0	0	True
