sgrna	Gene	control_count	treatment_count	control_mean	treat_mean	LFC	control_var	adj_var	score	p.low	p.high	p.twosided	FDR	high_in_treatment
TP53_+_7590780.23-P1P2	TP53__P1P2	13345	1.8339e+05/1.8586e+05	13345	1.8463e+05	3.7901	3.051e+06	2.1795e+06	116.02	1	0	0	0	True
TP53__P1P2__primarysecondary__FWD__34	TP53__P1P2	12717	1.7859e+05/1.7945e+05	12717	1.7902e+05	3.8152	3.7243e+05	2.0769e+06	115.4	1	0	0	0	True
TP53__P1P2__primarysecondary__RVS__44	TP53__P1P2	9523.5	1.3191e+05/1.3114e+05	9523.5	1.3153e+05	3.7876	2.9585e+05	1.5553e+06	97.827	1	0	0	0	True
TP53_+_7590763.23-P1P2	TP53__P1P2	9587.2	1.2279e+05/1.1134e+05	9587.2	1.1707e+05	3.6099	6.5619e+07	1.5657e+06	85.894	1	0	0	0	True
TP53_+_7590774.23-P1P2	TP53__P1P2	9534.7	1.205e+05/1.0856e+05	9534.7	1.1453e+05	3.5862	7.1235e+07	1.5571e+06	84.139	1	0	0	0	True
TP53__P1P2__primarysecondary__FWD__60	TP53__P1P2	8672.1	94732/90884	8672.1	92808	3.4196	7.402e+06	1.4163e+06	70.699	1	0	0	0	True
USP28__P1P2__primary__FWD__35	USP28__P1P2	8490.3	79299/83449	8490.3	81374	3.2605	8.6092e+06	1.3866e+06	61.896	1	0	0	0	True
TP53_-_7590396.23-P1P2	TP53__P1P2	6906.6	65636/73985	6906.6	69811	3.3372	3.4853e+07	1.1279e+06	59.23	1	0	0	0	True
USP28_+_113746238.23-P1P2	USP28__P1P2	4851.2	56050/56259	4851.2	56155	3.5327	21842	7.9225e+05	57.639	1	0	0	0	True
PMAIP1__57567020__RVS__36	PMAIP1__57567020	15515	1.0083e+05/88900	15515	94864	2.6121	7.1154e+07	2.5338e+06	49.849	1	0	0	0	True
USP28__P1P2__primary__RVS__65	USP28__P1P2	5748.1	47609/52574	5748.1	50092	3.1232	1.2325e+07	9.3873e+05	45.768	1	0	0	0	True
USP28__P1P2__primary__FWD__55	USP28__P1P2	5588.5	45891/47630	5588.5	46760	3.0645	1.5117e+06	9.1267e+05	43.097	1	0	0	0	True
USP28_+_113746234.23-P1P2	USP28__P1P2	5430.9	43257/46503	5430.9	44880	3.0466	5.2663e+06	8.8693e+05	41.888	1	0	0	0	True
PMAIP1__57567020__FWD__2	PMAIP1__57567020	13368	75579/74673	13368	75126	2.4905	4.1062e+05	2.1831e+06	41.798	1	0	0	0	True
USP28_-_113746230.23-P1P2	USP28__P1P2	6722.7	53411/46799	6722.7	50105	2.8977	2.1855e+07	1.0979e+06	41.403	1	0	0	0	True
BBC3__P1P2__secondary__FWD__29	BBC3__P1P2	4851.2	28181/28551	4851.2	28366	2.5475	68427	7.9225e+05	26.419	1	4.1639e-154	8.3279e-154	5.0441e-151	True
RBM15__110881839__FWD__75	RBM15__110881839	5192.5	28748/26400	5192.5	27574	2.4086	2.7563e+06	8.4801e+05	24.305	1	8.77e-131	1.754e-130	9.9988e-128	True
SUPT20H_+_37633575.23-P1P2	SUPT20H__P1P2	6995.4	34666/31243	6995.4	32954	2.2358	5.8584e+06	1.1424e+06	24.287	1	1.3506e-130	2.7011e-130	1.4543e-127	True
TP53__P1P2__primarysecondary__FWD__51	TP53__P1P2	4087.6	21591/26143	4087.6	23867	2.5454	1.036e+07	6.6755e+05	24.209	1	8.9139e-130	1.7828e-129	9.0931e-127	True
TP53BP1__P1__primarysecondary__RVS__67	TP53BP1__P1	4799.6	26437/25854	4799.6	26145	2.4453	1.7004e+05	7.8384e+05	24.11	1	9.8516e-129	1.9703e-128	9.5472e-126	True
BBC3_+_47734383.23-P1P2	BBC3__P1P2	5115.8	25927/27716	5115.8	26821	2.3901	1.6013e+06	8.3547e+05	23.747	1	5.9086e-125	1.1817e-124	5.4534e-122	True
TP53BP1_+_43785309.23-P1	TP53BP1__P1	4561.3	24658/25121	4561.3	24890	2.4478	1.0752e+05	7.4491e+05	23.553	1	5.8358e-123	1.1672e-122	5.1414e-120	True
BBC3__P1P2__secondary__RVS__26	BBC3__P1P2	4986.5	25437/26892	4986.5	26164	2.3913	1.0575e+06	8.1436e+05	23.468	1	4.3253e-122	8.6507e-122	3.6449e-119	True
CCDC6__P1P2__secondary__FWD__47	CCDC6__P1P2	4804.7	23896/26497	4804.7	25197	2.3905	3.3817e+06	7.8467e+05	23.021	1	1.45e-117	2.9e-117	1.171e-114	True
TGFBR2_+_30648526.23-P1P2	TGFBR2__P1P2	5153.2	25119/26987	5153.2	26053	2.3377	1.7451e+06	8.4157e+05	22.783	1	3.4097e-115	6.8193e-115	2.6434e-112	True
TGFBR2_+_30648147.23-P1P2	TGFBR2__P1P2	4421.9	23027/24255	4421.9	23641	2.4183	7.5324e+05	7.2215e+05	22.616	1	1.5066e-113	3.0131e-113	1.1231e-110	True
CCDC6__P1P2__secondary__FWD__71	CCDC6__P1P2	5278.4	22902/27915	5278.4	25408	2.2669	1.2564e+07	8.6203e+05	21.681	1	1.5448e-104	3.0896e-104	1.1089e-101	True
TP53BP1_+_43785295.23-P1	TP53BP1__P1	5500.6	25906/25410	5500.6	25658	2.2215	1.2291e+05	8.9832e+05	21.268	1	1.1342e-100	2.2683e-100	7.8508e-98	True
TGFBR2__P1P2__primary__RVS__73	TGFBR2__P1P2	3555.3	19363/18832	3555.3	19098	2.425	1.4079e+05	5.8062e+05	20.397	1	8.8866e-93	1.7773e-92	5.9393e-90	True
RBM15__110881839__FWD__72	RBM15__110881839	3739.1	18812/20423	3739.1	19618	2.3911	1.2985e+06	6.1064e+05	20.32	1	4.3169e-92	8.6338e-92	2.789e-89	True
NF2__29999349__FWD__97	NF2__29999349	6576.3	27511/27423	6576.3	27467	2.0622	3871	1.074e+06	20.158	1	1.1355e-90	2.2711e-90	7.0996e-88	True
TGFBR2_+_30648131.23-P1P2	TGFBR2__P1P2	4811.8	21824/23287	4811.8	22556	2.2286	1.0703e+06	7.8582e+05	20.017	1	1.9724e-89	3.9447e-89	1.1946e-86	True
PMAIP1__57567020__FWD__0	PMAIP1__57567020	7626.7	30324/29074	7626.7	29699	1.9611	7.814e+05	1.2455e+06	19.777	1	2.3466e-87	4.6931e-87	1.3782e-84	True
TGFBR2_+_30648531.23-P1P2	TGFBR2__P1P2	4115.9	20307/19966	4115.9	20136	2.2903	58067	6.7217e+05	19.541	1	2.4829e-85	4.9659e-85	1.4154e-82	True
CCDC6_+_61666146.23-P1P2	CCDC6__P1P2	4964.3	22576/22365	4964.3	22470	2.1781	22360	8.1073e+05	19.442	1	1.6879e-84	3.3758e-84	9.3471e-82	True
TP53BP1_+_43785094.23-P1	TP53BP1__P1	3044.2	16340/16997	3044.2	16668	2.4526	2.1586e+05	4.9716e+05	19.323	1	1.7332e-83	3.4665e-83	9.3316e-81	True
USP28_+_113745821.23-P1P2	USP28__P1P2	4299.7	19487/21246	4299.7	20366	2.2436	1.5463e+06	7.0219e+05	19.173	1	3.0842e-82	6.1685e-82	1.6156e-79	True
TP53BP1__P1__primarysecondary__FWD__65	TP53BP1__P1	4247.2	18982/20251	4247.2	19617	2.2072	8.0511e+05	6.9361e+05	18.454	1	2.4026e-76	4.8051e-76	1.2254e-73	True
TGFBR2_-_30648144.23-P1P2	TGFBR2__P1P2	4316.9	20866/18368	4316.9	19617	2.1838	3.1212e+06	7.0499e+05	18.223	1	1.7089e-74	3.4178e-74	8.4928e-72	True
TP53BP1_+_43785287.23-P1	TP53BP1__P1	4774.4	20839/20403	4774.4	20621	2.1105	94986	7.7972e+05	17.946	1	2.5926e-72	5.1851e-72	1.2562e-69	True
RBM15__110881839__FWD__70	RBM15__110881839	4086.6	18805/18143	4086.6	18474	2.1763	2.1883e+05	6.6739e+05	17.612	1	1.0046e-69	2.0093e-69	4.7493e-67	True
TP53BP1__P1__primarysecondary__FWD__72	TP53BP1__P1	4653.2	20390/19336	4653.2	19863	2.0936	5.5527e+05	7.5992e+05	17.448	1	1.7812e-68	3.5625e-68	8.22e-66	True
CCDC6__P1P2__secondary__FWD__75	CCDC6__P1P2	4193.6	19820/17306	4193.6	18563	2.1459	3.1599e+06	6.8487e+05	17.363	1	7.806e-68	1.5612e-67	3.5185e-65	True
SUPT20H_+_37633763.23-P1P2	SUPT20H__P1P2	5349.1	20318/22462	5349.1	21390	1.9994	2.2973e+06	8.7357e+05	17.162	1	2.546e-66	5.092e-66	1.1215e-63	True
NF2__29999349__RVS__92	NF2__29999349	4110.8	17465/18865	4110.8	18165	2.1434	9.8093e+05	6.7134e+05	17.153	1	3.0011e-66	6.0022e-66	1.2926e-63	True
FBXO42_+_16678912.23-P1P2	FBXO42__P1P2	3686.6	16439/17118	3686.6	16778	2.1859	2.3044e+05	6.0207e+05	16.873	1	3.5835e-64	7.167e-64	1.5099e-61	True
BBC3_-_47734401.23-P1P2	BBC3__P1P2	3299.8	15091/15859	3299.8	15475	2.2291	2.9469e+05	5.3889e+05	16.585	1	4.4543e-62	8.9087e-62	1.8369e-59	True
TRIP12_+_230786492.23-P1P2	TRIP12__P1P2	5522.8	20892/20969	5522.8	20930	1.9219	2953.4	9.0194e+05	16.223	1	1.7289e-59	3.4579e-59	6.9813e-57	True
BBC3_+_47734372.23-P1P2	BBC3__P1P2	4342.1	17475/18389	4342.1	17932	2.0458	4.1721e+05	7.0912e+05	16.138	1	6.8947e-59	1.3789e-58	2.7272e-56	True
TADA2B_-_7045121.23-P1P2	TADA2B__P1P2	4821.9	17678/20097	4821.9	18887	1.9695	2.9271e+06	7.8747e+05	15.85	1	6.9942e-57	1.3988e-56	2.7112e-54	True
TGFBR2__P1P2__primary__RVS__72	TGFBR2__P1P2	3777.5	18144/14285	3777.5	16215	2.1015	7.4483e+06	6.1691e+05	15.834	1	8.9943e-57	1.7989e-56	3.4182e-54	True
BAK1__33547269__FWD__65	BAK1__33547269	6112.7	21803/21503	6112.7	21653	1.8245	44723	9.9827e+05	15.554	1	7.5032e-55	1.5006e-54	2.7967e-52	True
SUPT20H__P1P2__secondary__RVS__54	SUPT20H__P1P2	3981.5	16378/16247	3981.5	16312	2.0343	8671.4	6.5023e+05	15.292	1	4.3366e-53	8.6732e-53	1.5859e-50	True
TP53BP1_+_43785299.23-P1	TP53BP1__P1	2884.6	14430/12272	2884.6	13351	2.2101	2.3304e+06	4.711e+05	15.249	1	8.3592e-53	1.6718e-52	3.0003e-50	True
PMAIP1__57567020__RVS__48	PMAIP1__57567020	5688.5	21298/19134	5688.5	20216	1.8292	2.3395e+06	9.29e+05	15.073	1	1.2281e-51	2.4562e-51	4.3278e-49	True
FBXO42_+_16678915.23-P1P2	FBXO42__P1P2	3669.4	14831/15570	3669.4	15201	2.0502	2.7308e+05	5.9926e+05	14.896	1	1.7526e-50	3.5051e-50	6.0658e-48	True
SUPT20H_+_37633798.23-P1P2	SUPT20H__P1P2	6156.1	20507/21561	6156.1	21034	1.7724	5.553e+05	1.0054e+06	14.838	1	4.1792e-50	8.3584e-50	1.4211e-47	True
SUPT20H_-_37633730.23-P1P2	SUPT20H__P1P2	5297.6	18382/19185	5297.6	18784	1.8259	3.2177e+05	8.6516e+05	14.499	1	6.1595e-48	1.2319e-47	2.0583e-45	True
BAK1__33547269__RVS__36	BAK1__33547269	4642.1	16744/17637	4642.1	17190	1.8885	3.9852e+05	7.5811e+05	14.412	1	2.1757e-47	4.3515e-47	7.1475e-45	True
NF2__29999349__RVS__91	NF2__29999349	4813.8	18093/17022	4813.8	17558	1.8666	5.7343e+05	7.8615e+05	14.373	1	3.8257e-47	7.6513e-47	1.2358e-44	True
FBXO42_-_16678698.23-P1P2	FBXO42__P1P2	4223.9	15040/16962	4223.9	16001	1.9212	1.8469e+06	6.8982e+05	14.179	1	6.1444e-46	1.2289e-45	1.9523e-43	True
CCDC6_-_61666322.23-P1P2	CCDC6__P1P2	4488.6	15646/17271	4488.6	16458	1.8742	1.3207e+06	7.3304e+05	13.98	1	1.0283e-44	2.0566e-44	3.2146e-42	True
USP28__P1P2__primary__FWD__67	USP28__P1P2	6083.4	20415/19606	6083.4	20010	1.7176	3.2723e+05	9.9349e+05	13.972	1	1.1523e-44	2.3047e-44	3.5452e-42	True
TGFBR2__P1P2__primary__RVS__75	TGFBR2__P1P2	3404.8	14469/12981	3404.8	13725	2.0108	1.1066e+06	5.5605e+05	13.84	1	7.3408e-44	1.4682e-43	2.2231e-41	True
BAK1__33547269__RVS__50	BAK1__33547269	4868.3	17024/17182	4868.3	17103	1.8125	12452	7.9506e+05	13.721	1	3.7951e-43	7.5903e-43	1.1317e-40	True
UBE2M_+_59069830.23-P1P2	UBE2M__P1P2	3798.7	15086/13807	3798.7	14446	1.9268	8.179e+05	6.2038e+05	13.518	1	6.0945e-42	1.2189e-41	1.7897e-39	True
BAK1__33547269__FWD__38	BAK1__33547269	5297.6	17244/17921	5297.6	17582	1.7305	2.2918e+05	8.6516e+05	13.207	1	3.973e-40	7.946e-40	1.1493e-37	True
BAK1__33547269__FWD__55	BAK1__33547269	4862.3	15890/16738	4862.3	16314	1.7462	3.5986e+05	7.9407e+05	12.851	1	4.2412e-38	8.4823e-38	1.2089e-35	True
CCDC6_-_61666417.23-P1P2	CCDC6__P1P2	4278.5	14536/15426	4278.5	14981	1.8077	3.9678e+05	6.9873e+05	12.804	1	7.8221e-38	1.5644e-37	2.1972e-35	True
BAK1__33547269__RVS__73	BAK1__33547269	5011.8	16388/16144	5011.8	16266	1.6983	29745	8.1848e+05	12.44	1	7.9689e-36	1.5938e-35	2.2065e-33	True
FBXO42__P1P2__primarysecondary__FWD__93	FBXO42__P1P2	4128	13808/14698	4128	14253	1.7875	3.9557e+05	6.7415e+05	12.331	1	3.0689e-35	6.1377e-35	8.3776e-33	True
GAL__P1P2__primary__RVS__63	GAL__P1P2	3793.7	14684/12208	3793.7	13446	1.8252	3.0666e+06	6.1955e+05	12.263	1	7.1656e-35	1.4331e-34	1.9289e-32	True
BAK1__33547269__FWD__14	BAK1__33547269	5339	16980/16065	5339	16522	1.6296	4.1815e+05	8.7192e+05	11.977	1	2.3554e-33	4.7108e-33	6.2537e-31	True
ATG16L1_+_234160346.23-P1P2	ATG16L1__P1P2	4245.1	14619/13617	4245.1	14118	1.7334	5.0159e+05	6.9328e+05	11.858	1	9.8204e-33	1.9641e-32	2.5722e-30	True
BAK1__33547269__RVS__14	BAK1__33547269	5782.4	17584/16901	5782.4	17242	1.5761	2.329e+05	9.4434e+05	11.793	1	2.1215e-32	4.243e-32	5.4826e-30	True
KIAA1429_-_95565701.23-P1P2	KIAA1429__P1P2	2587.7	10710/9644.8	2587.7	10178	1.9753	5.6786e+05	4.226e+05	11.675	1	8.5071e-32	1.7014e-31	2.1695e-29	True
KLF5_+_73633558.23-P1P2	KLF5__P1P2	5806.6	17358/16864	5806.6	17111	1.559	1.221e+05	9.483e+05	11.608	1	1.8746e-31	3.7493e-31	4.7188e-29	True
TRIP12_-_230786461.23-P1P2	TRIP12__P1P2	3848.2	12962/12607	3848.2	12784	1.7318	62901	6.2846e+05	11.272	1	9.0053e-30	1.8011e-29	2.2377e-27	True
FBXO42__P1P2__primarysecondary__FWD__97	FBXO42__P1P2	3366.4	12267/11155	3366.4	11711	1.7983	6.185e+05	5.4978e+05	11.254	1	1.1046e-29	2.2093e-29	2.7101e-27	True
CHEK2__P1P2__primary__FWD__73	CHEK2__P1P2	5100.6	15438/15248	5100.6	15343	1.5887	17915	8.33e+05	11.222	1	1.5832e-29	3.1664e-29	3.8358e-27	True
CSDE1_+_115300574.23-P1P2	CSDE1__P1P2	4961.3	14945/15060	4961.3	15003	1.5962	6649.5	8.1023e+05	11.155	1	3.3658e-29	6.7316e-29	8.0539e-27	True
TRIP12_-_230786488.23-P1P2	TRIP12__P1P2	4429	13176/14350	4429	13763	1.6355	6.8849e+05	7.233e+05	10.975	1	2.5176e-28	5.0352e-28	5.9507e-26	True
MAU2_+_19431732.23-P1P2	MAU2__P1P2	4684.5	15126/13395	4684.5	14260	1.6058	1.4977e+06	7.6504e+05	10.948	1	3.3931e-28	6.7861e-28	7.9234e-26	True
BBC3_-_47734192.23-P1P2	BBC3__P1P2	4001.7	11355/14148	4001.7	12752	1.6717	3.8988e+06	6.5353e+05	10.824	1	1.3313e-27	2.6626e-27	3.0718e-25	True
SUPT20H__P1P2__secondary__RVS__74	SUPT20H__P1P2	5078.4	15054/14369	5078.4	14711	1.5343	2.3428e+05	8.2937e+05	10.578	1	1.8932e-26	3.7865e-26	4.317e-24	True
CSDE1_+_115300577.23-P1P2	CSDE1__P1P2	4733	14018/13385	4733	13701	1.5333	2.0023e+05	7.7295e+05	10.201	1	9.8456e-25	1.9691e-24	2.2189e-22	True
CCDC6_-_61666258.23-P1P2	CCDC6__P1P2	3988.6	12239/11967	3988.6	12103	1.6012	37072	6.5139e+05	10.054	1	4.4023e-24	8.8046e-24	9.8076e-22	True
NF2__29999349__RVS__25	NF2__29999349	3955.3	12649/11335	3955.3	11992	1.6	8.627e+05	6.4594e+05	9.9995	1	7.6585e-24	1.5317e-23	1.6868e-21	True
CHEK2_+_29137741.23-P1P2	CHEK2__P1P2	5235	13553/15203	5235	14378	1.4574	1.3617e+06	8.5493e+05	9.8881	1	2.3449e-23	4.6898e-23	5.1066e-21	True
KIAA1429__P1P2__primarysecondary__FWD__61	KIAA1429__P1P2	5154.2	14230/13952	5154.2	14091	1.4508	38648	8.4174e+05	9.7404	1	1.0133e-22	2.0267e-22	2.1823e-20	True
TADA2B_+_7045443.23-P1P2	TADA2B__P1P2	3825	11862/11060	3825	11461	1.583	3.2148e+05	6.2466e+05	9.6617	1	2.1919e-22	4.3839e-22	4.6686e-20	True
KLHL5_-_39046881.23-P1P2	KLHL5__P1P2	3819.9	11142/10484	3819.9	10813	1.5009	2.1604e+05	6.2384e+05	8.8538	1	4.231e-19	8.4621e-19	8.9137e-17	True
TADA2B__P1P2__secondary__FWD__9	TADA2B__P1P2	4343.1	11324/12072	4343.1	11698	1.4293	2.7964e+05	7.0928e+05	8.7331	1	1.239e-18	2.4779e-18	2.5821e-16	True
TAF5L_+_229761697.23-P1P2	TAF5L__P1P2	4090.6	11224/11147	4090.6	11186	1.451	2980.9	6.6805e+05	8.6805	1	1.9698e-18	3.9395e-18	4.0615e-16	True
SND1_+_127292678.23-P1P2	SND1__P1P2	3648.2	10463/10095	3648.2	10279	1.4942	67514	5.958e+05	8.5905	1	4.3291e-18	8.6582e-18	8.8323e-16	True
FBXO28_-_224301858.23-P1P2	FBXO28__P1P2	4187.6	11591/10964	4187.6	11278	1.4291	1.9624e+05	6.8388e+05	8.5736	1	5.0146e-18	1.0029e-17	1.0124e-15	True
SUFU__104263513__FWD__29	SUFU__104263513	5651.1	14248/13233	5651.1	13741	1.2817	5.1495e+05	9.2289e+05	8.4206	1	1.8735e-17	3.7471e-17	3.7436e-15	True
non-targeting_00205	negative_control__na	4081.5	10330/11471	4081.5	10900	1.417	6.5102e+05	6.6656e+05	8.352	1	3.3564e-17	6.7129e-17	6.6382e-15	True
B4GALT7__P1P2__primarysecondary__FWD__49	B4GALT7__P1P2	4161.3	11149/10893	4161.3	11021	1.4049	32755	6.7959e+05	8.3206	1	4.3771e-17	8.7542e-17	8.5693e-15	True
MAU2_-_19431659.23-P1P2	MAU2__P1P2	3657.3	10830/9328.9	3657.3	10080	1.4623	1.1274e+06	5.9728e+05	8.31	1	4.7834e-17	9.5667e-17	9.2711e-15	True
TRIP12__P1P2__secondary__RVS__63	TRIP12__P1P2	4169.4	11211/10717	4169.4	10964	1.3947	1.2211e+05	6.8091e+05	8.2342	1	9.0383e-17	1.8077e-16	1.7345e-14	True
MAU2_-_19431674.23-P1P2	MAU2__P1P2	3665.4	10948/8889.7	3665.4	9918.8	1.4359	2.1178e+06	5.986e+05	8.0825	1	3.1732e-16	6.3464e-16	6.0297e-14	True
SUFU__104263513__RVS__29	SUFU__104263513	5626.9	13327/12930	5626.9	13129	1.2222	79127	9.1893e+05	7.8256	1	2.5256e-15	5.0513e-15	4.7526e-13	True
GLCE_+_69452985.23-P1P2	GLCE__P1P2	4915.8	13281/10504	4915.8	11892	1.2743	3.8556e+06	8.0281e+05	7.7861	1	3.4557e-15	6.9115e-15	6.4403e-13	True
ZNF787__P1P2__primary__RVS__57	ZNF787__P1P2	4297.7	10989/10557	4297.7	10773	1.3256	93410	7.0186e+05	7.7297	1	5.3903e-15	1.0781e-14	9.95e-13	True
CSDE1_-_115300604.23-P1P2	CSDE1__P1P2	4793.6	11027/12075	4793.6	11551	1.2687	5.497e+05	7.8285e+05	7.6375	1	1.1077e-14	2.2155e-14	2.0255e-12	True
NIPBL_+_36877381.23-P1P2	NIPBL__P1P2	3696.7	9301.6/9944.8	3696.7	9623.2	1.38	2.0683e+05	6.0372e+05	7.6275	1	1.1969e-14	2.3937e-14	2.168e-12	True
FBXO28_-_224301864.23-P1P2	FBXO28__P1P2	3777.5	10009/9503.4	3777.5	9756.2	1.3687	1.2788e+05	6.1691e+05	7.612	1	1.3497e-14	2.6994e-14	2.4222e-12	True
SUFU__104263513__RVS__57	SUFU__104263513	6738.9	14499/14855	6738.9	14677	1.1229	63328	1.1005e+06	7.5669	1	1.9118e-14	3.8236e-14	3.3995e-12	True
CHEK2_+_29137765.23-P1P2	CHEK2__P1P2	3975.5	9696.2/10346	3975.5	10021	1.3336	2.1129e+05	6.4924e+05	7.5032	1	3.1133e-14	6.2267e-14	5.4857e-12	True
FAM122A_-_71394992.23-P1P2	FAM122A__P1P2	4335	11142/9927.7	4335	10535	1.2808	7.3681e+05	7.0796e+05	7.3681	1	8.6516e-14	1.7303e-13	1.5107e-11	True
SPRY4__P1P2__primary__FWD__27	SPRY4__P1P2	4313.8	11276/9687	4313.8	10482	1.2806	1.263e+06	7.045e+05	7.3484	1	1.0031e-13	2.0062e-13	1.7359e-11	True
GLCE_+_69452969.23-P1P2	GLCE__P1P2	3522	9604.1/8571.5	3522	9087.8	1.3673	5.331e+05	5.7518e+05	7.3388	1	1.0772e-13	2.1544e-13	1.8476e-11	True
MAU2__P1P2__primarysecondary__RVS__30	MAU2__P1P2	4635	11252/10767	4635	11010	1.2479	1.1754e+05	7.5695e+05	7.3268	1	1.1786e-13	2.3572e-13	2.0038e-11	True
CYP51A1__P1P2__secondary__RVS__48	CYP51A1__P1P2	3691.6	9838.7/8897.7	3691.6	9368.2	1.3433	4.4277e+05	6.0289e+05	7.3108	1	1.3274e-13	2.6548e-13	2.2372e-11	True
CYP51A1__P1P2__primary__FWD__33	CYP51A1__P1P2	3783.6	9293.8/9720.1	3783.6	9506.9	1.329	90861	6.179e+05	7.281	1	1.6565e-13	3.313e-13	2.7678e-11	True
B4GALT7_+_177027199.23-P1P2	B4GALT7__P1P2	3503.8	8811.4/9158.9	3503.8	8985.2	1.3584	60377	5.7221e+05	7.2462	1	2.1428e-13	4.2855e-13	3.5497e-11	True
EXT1__P1P2__primary__FWD__31	EXT1__P1P2	4464.3	10665/10490	4464.3	10578	1.2443	15370	7.2908e+05	7.1596	1	4.045e-13	8.09e-13	6.6441e-11	True
SGK223__P1P2__secondary__FWD__69	SGK223__P1P2	3773.5	10314/8397	3773.5	9355.6	1.3097	1.8378e+06	6.1625e+05	7.1108	1	5.7675e-13	1.1535e-12	9.3938e-11	True
CSDE1__P1P2__secondary__FWD__27	CSDE1__P1P2	3702.8	9459.8/8947.9	3702.8	9203.8	1.3134	1.3102e+05	6.0471e+05	7.0742	1	7.5163e-13	1.5033e-12	1.214e-10	True
CTNND1_-_57529315.23-P1P2	CTNND1__P1P2	4584.5	11053/10212	4584.5	10632	1.2134	3.5387e+05	7.4871e+05	6.9894	1	1.3801e-12	2.7603e-12	2.2107e-10	True
SPRY4_-_141704305.23-P1P2	SPRY4__P1P2	4011.8	9737.1/9533	4011.8	9635	1.2638	20814	6.5518e+05	6.9471	1	1.8643e-12	3.7286e-12	2.9618e-10	True
FBXO28_-_224302270.23-P1P2	FBXO28__P1P2	4453.2	9765.7/10983	4453.2	10374	1.2199	7.4051e+05	7.2726e+05	6.943	1	1.9187e-12	3.8373e-12	3.0234e-10	True
CHEK2_+_29137755.23-P1P2	CHEK2__P1P2	3771.4	9094.8/9246.7	3771.4	9170.7	1.2817	11549	6.1592e+05	6.8798	1	2.9972e-12	5.9944e-12	4.6848e-10	True
SPRY4_+_141704568.23-P1P2	SPRY4__P1P2	4078.5	9837/9450.9	4078.5	9644	1.2414	74539	6.6607e+05	6.8193	1	4.573e-12	9.146e-12	7.0907e-10	True
CTNND1__P1P2__primarysecondary__FWD__37	CTNND1__P1P2	4935	11089/11019	4935	11054	1.1633	2466.8	8.0594e+05	6.8163	1	4.6693e-12	9.3386e-12	7.1825e-10	True
NAE1_+_66864392.23-P1P2	NAE1__P1P2	3470.5	8738.4/8359.4	3470.5	8548.9	1.3004	71838	5.6677e+05	6.7457	1	7.6146e-12	1.5229e-11	1.1621e-09	True
CTNND1_-_57529788.23-P1P2	CTNND1__P1P2	4007.8	10131/8659.3	4007.8	9395.1	1.2289	1.0826e+06	6.5452e+05	6.659	1	1.3788e-11	2.7576e-11	2.0878e-09	True
CYP51A1_+_91763777.23-P1P2	CYP51A1__P1P2	3207.8	8003.1/8038.9	3207.8	8021	1.3219	638.97	5.2388e+05	6.6499	1	1.467e-11	2.9339e-11	2.1993e-09	True
SPRY4_-_141704118.23-P1P2	SPRY4__P1P2	5342	11701/11404	5342	11552	1.1126	44325	8.7242e+05	6.649	1	1.4751e-11	2.9503e-11	2.1993e-09	True
MAU2__P1P2__primarysecondary__FWD__37	MAU2__P1P2	2958.4	8301.2/6627.9	2958.4	7464.6	1.335	1.3999e+06	4.8314e+05	6.483	1	4.4956e-11	8.9913e-11	6.6515e-09	True
TRIP12_+_230786278.23-P1P2	TRIP12__P1P2	4626.9	10270/10221	4626.9	10245	1.1467	1202.7	7.5563e+05	6.4633	1	5.1216e-11	1.0243e-10	7.5202e-09	True
CTNND1__P1P2__primarysecondary__RVS__62	CTNND1__P1P2	4783.5	11505/9476	4783.5	10490	1.1328	2.0582e+06	7.812e+05	6.4569	1	5.3441e-11	1.0688e-10	7.7879e-09	True
CCNC_-_100016480.23-P1P2	CCNC__P1P2	4698.6	9760.5/10936	4698.6	10348	1.1389	6.9081e+05	7.6735e+05	6.4494	1	5.6138e-11	1.1228e-10	8.1199e-09	True
PAN3_-_28712804.23-P1P2	PAN3__P1P2	3140.2	7874.5/7631.7	3140.2	7753.1	1.3036	29478	5.1283e+05	6.4415	1	5.9148e-11	1.183e-10	8.4919e-09	True
SUFU__104263513__FWD__26	SUFU__104263513	5797.6	12167/11810	5797.6	11988	1.048	63923	9.4681e+05	6.3624	1	9.9333e-11	1.9867e-10	1.4156e-08	True
ZNF787_-_56632608.23-P1P2	ZNF787__P1P2	3803.8	8575.9/9057.4	3803.8	8816.6	1.2126	1.1593e+05	6.212e+05	6.3602	1	1.0075e-10	2.0149e-10	1.4253e-08	True
SUFU__104263513__RVS__28	SUFU__104263513	4277.5	9560.6/9615.1	4277.5	9587.9	1.1643	1486.6	6.9856e+05	6.3537	1	1.0511e-10	2.1021e-10	1.474e-08	True
CTNND1_+_57529298.23-P1P2	CTNND1__P1P2	4156.3	9095.6/9684.7	4156.3	9390.2	1.1757	1.7352e+05	6.7877e+05	6.3528	1	1.0571e-10	2.1142e-10	1.474e-08	True
KIAA1429_+_95565606.23-P1P2	KIAA1429__P1P2	4701.7	10770/9663	4701.7	10216	1.1195	6.1223e+05	7.6784e+05	6.2934	1	1.5534e-10	3.1068e-10	2.1506e-08	True
