sgrna	Gene	control_count	treatment_count	control_mean	treat_mean	LFC	control_var	adj_var	score	p.low	p.high	p.twosided	FDR	high_in_treatment
SURF2_-_136223856.23-P1P2	SURF2__P1P2	3477.5	3076.8/3312.3	3477.5	3194.5	-0.12242	27726	5.6792e+05	0.37553	0.35363	0.64637	0.70726	0.99914	False
FLII__18161284__FWD__84	FLII__18161284	4755.2	4569.1/4279.5	4755.2	4424.3	-0.10404	41941	7.7658e+05	0.37551	0.35364	0.64636	0.70728	0.99914	False
non-targeting_00303	negative_control__na	3327	3094.2/3006.6	3327	3050.4	-0.12521	3834.9	5.4334e+05	0.37533	0.35371	0.64629	0.70742	0.99914	False
ZSCAN18__P2__primarysecondary__FWD__70	ZSCAN18__P2	4115.9	3859.9/3757.1	4115.9	3808.5	-0.11195	5282.9	6.7217e+05	0.37491	0.35386	0.64614	0.70773	0.99914	False
non-targeting_00669	negative_control__na	4600.7	4424.8/4126.6	4600.7	4275.7	-0.10565	44457	7.5135e+05	0.37487	0.35388	0.64612	0.70776	0.99914	False
non-targeting_00964	negative_control__na	3558.3	3979/3709.2	3558.3	3844.1	0.11141	36387	5.8112e+05	0.37484	0.64611	0.35389	0.70778	0.99914	True
COG6__P1P2__primarysecondary__FWD__42	COG6__P1P2	4513.8	4297.9/5373.3	4513.8	4835.6	0.099332	5.7821e+05	7.3716e+05	0.37481	0.6461	0.3539	0.7078	0.99914	True
non-targeting_01848	negative_control__na	3972.4	3729.5/3612.2	3972.4	3670.9	-0.11387	6876.4	6.4875e+05	0.37441	0.35405	0.64595	0.7081	0.99914	False
non-targeting_01370	negative_control__na	2962.4	2540.5/2864	2962.4	2702.3	-0.13256	52325	4.838e+05	0.37403	0.35419	0.64581	0.70838	0.99914	False
non-targeting_00762	negative_control__na	3709.8	3891.2/4110.7	3709.8	4000.9	0.10895	24091	6.0586e+05	0.37398	0.64579	0.35421	0.70842	0.99914	True
STT3B__P1P2__secondary__FWD__32	STT3B__P1P2	4112.8	4434.4/4403.8	4112.8	4419.1	0.1036	467.67	6.7167e+05	0.3737	0.64568	0.35432	0.70863	0.99914	True
SRGAP2__206636520__RVS__-21	SRGAP2__206636520	4032	4525.6/4144.9	4032	4335.3	0.10459	72488	6.5848e+05	0.37369	0.64568	0.35432	0.70863	0.99914	True
FRMPD2__49481953__FWD__44	FRMPD2__49481953	4993.6	5764.2/4897.7	4993.6	5330.9	0.094296	3.7541e+05	8.1551e+05	0.37357	0.64564	0.35436	0.70872	0.99914	True
ISY1_-_128879901.23-P1P2	ISY1__P1P2	4800.7	5081.9/5180.5	4800.7	5131.2	0.096051	4865.1	7.8401e+05	0.37333	0.64555	0.35445	0.7089	0.99914	True
WDR37__P1P2__primary__FWD__31	WDR37__P1P2	3999.7	4592.6/4010.3	3999.7	4301.4	0.1049	1.6952e+05	6.532e+05	0.37333	0.64555	0.35445	0.7089	0.99914	True
non-targeting_01714	negative_control__na	3625	3656.5/4167.7	3625	3912.1	0.10994	1.3066e+05	5.92e+05	0.37316	0.64548	0.35452	0.70903	0.99914	True
PCSK1N__P1P2__primary__RVS__486	PCSK1N__P1P2	4979.4	4396.1/4890.8	4979.4	4643.5	-0.10075	1.2236e+05	8.132e+05	0.37254	0.35475	0.64525	0.70949	0.99914	False
PRSS40A__131328218__RVS__25	PRSS40A__131328218	4073.4	5101/3653.3	4073.4	4377.2	0.10372	1.048e+06	6.6524e+05	0.37238	0.64519	0.35481	0.70961	0.99914	True
non-targeting_01596	negative_control__na	3299.8	3363.6/3782.2	3299.8	3572.9	0.1147	87607	5.3889e+05	0.37207	0.64508	0.35492	0.70984	0.99914	True
ERC1__P1P2__primary__RVS__-153	ERC1__P1P2	3040.2	2803/2753.4	3040.2	2778.2	-0.12997	1231.2	4.965e+05	0.37183	0.35501	0.64499	0.71002	0.99914	False
non-targeting_00226	negative_control__na	4084.5	4296.2/4480.2	4084.5	4388.2	0.10343	16934	6.6706e+05	0.37179	0.64498	0.35502	0.71005	0.99914	True
non-targeting_00970	negative_control__na	4310.8	4799.4/4446	4310.8	4622.7	0.10076	62454	7.04e+05	0.37175	0.64496	0.35504	0.71008	0.99914	True
non-targeting_00359	negative_control__na	3243.2	3344.5/3683	3243.2	3513.7	0.11555	57283	5.2965e+05	0.37171	0.64494	0.35506	0.71011	0.99914	True
non-targeting_01766	negative_control__na	3771.4	3145.4/3814.1	3771.4	3479.8	-0.11609	2.2357e+05	6.1592e+05	0.37163	0.35508	0.64492	0.71017	0.99914	False
non-targeting_01653	negative_control__na	2249.3	1875.6/2172.8	2249.3	2024.2	-0.15206	44163	3.6734e+05	0.3716	0.3551	0.6449	0.71019	0.99914	False
non-targeting_01056	negative_control__na	4696.6	5179.2/4864.6	4696.6	5021.9	0.096595	49501	7.6702e+05	0.37143	0.64484	0.35516	0.71032	0.99914	True
non-targeting_01071	negative_control__na	3830	4229.3/4018.3	3830	4123.8	0.10659	22257	6.2549e+05	0.37143	0.64484	0.35516	0.71032	0.99914	True
FAM222B__P1__primarysecondary__FWD__68	FAM222B__P1	3802.8	4498.7/3692.1	3802.8	4095.4	0.10693	3.2532e+05	6.2104e+05	0.37134	0.64481	0.35519	0.71038	0.99914	True
AES_-_3061802.23-P1P2	AES__P1P2	2717	3174.1/2754.5	2717	2964.3	0.12566	88036	4.4371e+05	0.37133	0.64479	0.35521	0.71041	0.99914	True
UNC13B__P1P2__primary__FWD__6	UNC13B__P1P2	2631.1	2245.9/2529.8	2631.1	2387.8	-0.13991	40312	4.2969e+05	0.37117	0.35525	0.64475	0.71051	0.99914	False
RSPH3__P1P2__primary__RVS__46	RSPH3__P1P2	4028	4273.6/4384.4	4028	4329	0.10395	6140.4	6.5782e+05	0.37114	0.64473	0.35527	0.71053	0.99914	True
SHCBP1__P1P2__primarysecondary__RVS__52	SHCBP1__P1P2	3606.8	3828.6/3954.4	3606.8	3891.5	0.10958	7915.4	5.8903e+05	0.37094	0.64466	0.35534	0.71068	0.99914	True
ATP1A1_+_116916694.23-P1P2	ATP1A1__P1P2	3744.2	3820.8/4247.5	3744.2	4034.2	0.10759	91068	6.1147e+05	0.37084	0.64462	0.35538	0.71076	0.99914	True
non-targeting_01023	negative_control__na	3135.1	3241/3559.8	3135.1	3400.4	0.11715	50792	5.12e+05	0.37075	0.64458	0.35542	0.71083	0.99914	True
OCLN__68788394__FWD__-23	OCLN__68788394	3405.8	3201.1/3057.9	3405.8	3129.5	-0.12203	10247	5.5621e+05	0.37051	0.3555	0.6445	0.711	0.99914	False
non-targeting_01228	negative_control__na	4813.8	5046.3/3924.8	4813.8	4485.5	-0.10188	6.2889e+05	7.8615e+05	0.37024	0.3556	0.6444	0.7112	0.99914	False
non-targeting_00240	negative_control__na	4611.8	4048.5/4532.7	4611.8	4290.6	-0.10413	1.1723e+05	7.5316e+05	0.37011	0.35565	0.64435	0.7113	0.99914	False
non-targeting_00368	negative_control__na	3969.4	4281.4/4253.2	3969.4	4267.3	0.10439	396.8	6.4825e+05	0.37003	0.64432	0.35568	0.71136	0.99914	True
ATP12A__25254345__RVS__38	ATP12A__P1P2	3542.2	3738.2/3908.8	3542.2	3823.5	0.11023	14550	5.7848e+05	0.36989	0.64427	0.35573	0.71147	0.99914	True
non-targeting_00103	negative_control__na	3726	3806.9/3068.2	3726	3437.5	-0.11622	2.7283e+05	6.085e+05	0.3698	0.35576	0.64424	0.71153	0.99914	False
SERTAD1__P1P2__primarysecondary__RVS__93	SERTAD1__P1P2	3435.1	3922.5/3501.6	3435.1	3712	0.11182	88561	5.6099e+05	0.36973	0.64421	0.35579	0.71158	0.99914	True
AKAP10__P1P2__primarysecondary__FWD__75	AKAP10__P1P2	4186.6	4627.3/4357	4186.6	4492.2	0.10163	36531	6.8372e+05	0.36962	0.64417	0.35583	0.71167	0.99914	True
